bird-life-cycle.py,scale-weigh.py
make-ice-cubes.py,lit-lightbulb.py
sunburn.py,bath-tub-water-temperature.py
metal-detector.py,bath-tub-water-temperature.py
make-ice-cubes.py,lit-lightbulb.py
scale-weigh.py,clean-energy.py
refrigerate-food.py,clean-energy.py
dishwasher.py,conductivity.py
cooking.py,volume-stone.py
make-campfire.py,balance-scale-heaviest.py
sweep-floor.py,bath-tub-water-temperature.py
volume.py,space-walk.py
multimeter.py,bath-tub-water-temperature.py
balance-scale-weigh.py,volume-stone.py
dishwasher.py,space-walk.py
plant-tree.py,lit-lightbulb.py
